Proxima Centauri;Centaurus;14h 29m 42.94853s;62º 40' 46.1631";15.60;4.244;M5.5Ve;0.122;3042;4.85;2
Wolf 359;Leo;10h 56m 28.99s;07º 00' 52.0";7.1;7.86;M6.5Ve;0.09;2800;0.225;2
Lacaille 9352;Piscis Austrinus;23h 05m 52.04s;-35º 51' 11.05";7.34;10.721;M0.5V;0.486;3688±86;4.57;2
Luyten's Star;Canis Minor;07h 27m 24.4991s;05º 13' 32.827";9.872;11.20;M3.5V;0.26;3150;null;4
Struve 2398 B;Draco;00h 18m 22.8850s;44º 01' 22.6373";9.70;11.39;M3.5V;0.248;3345;2.4;2
Groombridge 34 A;Andromeda;00h 18m 22.8850s;44º 01' 22.6373";8.119;11.620;M1.4V;0.38;3607;3.04;2
YZ Ceti;Cetus;01h 12m 30.64s;-16º 59' 56.3";12.07;11.74;M4.5V;0.13;3056;4;3
Tau Ceti;Cetus;01h 44m 05.13s;-15º 56' 22.4";3.49;11.905;G8V;0.783;5344;5.8;4
HD 113538;Centaurus;13h 04m 57.48s;−52° 26' 34.5";9.10;52;K9V;0.698;4685;1.278;2
HD 114386;Centaurus;13h 10m 39.82s;−35° 03' 17.2";8.73;91;K3V;unknown;4819;2.19;2
HD 117618;Centaurus;13h 32m 25.0s;−47° 16' 16";7.18;124;G2V;1.05;5861;3.88;2
WASP-41;Centaurus;12h 42m 28.5s;−30° 38' 24";11.6;587;G8V;0.95;5450;unknown;2
K2-3;Leo;11h 29m 20.3918s;−01° 27' 17.280";12.168;143.9±0.4;M0V;0.601;3835±70;1;3
83 Leonis;Leo;11h 26m 46.28s;+03° 00' 22.8";7.57;59;K2V;0.777;4875;4.486;2
HD 207832;Piscis Austrinus;21h 52m 36.0s;−26° 01' 36";8.79;177;G5V;0.94;5710;4.5;2
HD 158259;Draco;17h 25m 24.0s;+52° 47' 26";6.46;89;G0;1.08;unknown;unknown;5
HD 191939;Draco;20h 08m 05.75s;+66° 51' 2.1";8.971;175;G8V;0.92;5427.0;7;3
Kepler-10;Draco;19h 02m 33.06s;+50° 14' 28.7";10.96;564;G5V;0.895;5627;11.876;2
Kepler-968;Draco;19h 02m 24.6s;+50° 06' 43";;1018;;0.76;4598;unknown;2
Kepler-1050;Draco;18h 51m 42.0s;+48° 37' 35";;1810;;1.09;6010;unknown;2
Kepler-1254;Draco;19h 34m 59.3s;+45° 06' 26";;2205;;0.78;4985;unknown;3
Kepler-90;Draco;18h 57m 44.0s;+49° 18' 19";14.0;2500;G0V;1.13;5930;2;8
Kepler-529;Draco;19h 03m 33.2s;+47° 52' 49";;2567;;1.07;6087;unknown;2
Upsilon Andromedae;Andromeda;01h 36m;47.84s;+41° 24' 19.7";4.09;44;F8V;1.27;6107;3.781;4
HD 1461;Cetus;00h 18m 41.62s;−08° 03' 09.5";6.47;76;G0V;1.08;5765;6.3;2
HD 11964;Cetus;01h 57m 09.61s;−10° 14' 32.7";6.42;107;G5IV;1.125;5522;9.561;2
HIP 5158;Cetus;01h 06m 02.05s;−22° 27' 11.4";10.21;130;K5;0.78;4962;unknown;2
HD 11506;Cetus;01h 52m 50.53s;−19° 30' 25.1";7.54;169;G0V;1.191;6058;5.42;2
HD 4732;Cetus;00h 49m 13.90s;−24° 08' 11.5";5.90;184;K0III;1.74;4959;unknown;2
HD 16031;Cetus;02h 34m 11s;−12° 23' 03";9.76;362;F2V;0.83;6040;12.8;2
HD 7449;Cetus;01h 14m 29.3222s;−05° 02' 50.6148";7.48;126;F9.5V;1.02;6060±42;2.2;2
K2-211;Cetus;01h 24m 25.4278s;01° 42' 17.8335";13.07;894;;0.882;5360±51;unknown;2
